Post Month,Post Weekday,Post Hour,Lifetime Post Total Reach,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
12,4,3,2752,1640,119,4,79,17,100
12,3,10,10460,6112,1108,5,130,29,164
12,3,3,2413,1503,132,0,66,14,80
12,2,10,50128,32048,1386,58,1572,147,1777
12,2,3,7244,3200,396,19,325,49,393
12,1,9,10472,7852,1016,1,152,33,186
12,1,3,11692,9328,379,3,249,27,279
12,7,9,13720,11056,422,0,325,14,339
12,7,3,11844,7912,1250,0,161,31,192
12,6,10,4694,2324,199,3,113,26,142
12,5,10,21744,18952,3798,0,233,19,252
12,5,10,3112,2174,165,0,88,18,106
12,5,10,2847,2072,152,0,90,14,104
12,5,3,2549,1917,183,5,137,10,152
12,4,5,22784,19312,684,2,577,20,599
12,3,10,10060,8548,1162,4,86,18,108
12,3,3,1722,1050,123,2,40,12,54
12,2,12,53264,39776,1307,15,678,20,713
12,2,3,3930,2410,101,4,54,17,75
12,1,11,1591,1161,100,0,34,8,42
12,1,3,2848,1963,157,3,66,12,81
12,7,10,1384,1172,15,0,0,0,0
12,7,10,3454,3100,106,0,16,2,18
12,7,3,2723,1621,143,0,72,24,96
12,6,10,8488,5244,995,3,99,19,121
12,6,3,8284,5372,1200,0,88,18,106
12,5,11,19552,9824,1779,10,412,72,494
12,5,3,2478,1443,166,0,100,17,117
12,5,3,9560,4748,621,36,523,63,622
12,4,11,36208,14112,559,18,143,13,174
12,4,2,4940,2930,273,33,107,22,162
12,3,10,1683,858,131,1,27,11,39
12,3,3,5280,2422,268,2,155,47,204
12,2,9,3002,1676,194,4,98,23,125
12,2,3,3766,2938,244,2,56,17,75
12,1,11,4512,2954,316,6,172,21,199
12,1,3,2690,1727,199,0,96,17,113
12,7,10,19800,2752,248,16,76,8,100
12,7,9,17576,11792,4104,11,227,31,269
12,7,3,3290,2584,247,1,44,14,59
12,6,11,13280,9344,1716,7,216,39,262
12,6,3,18480,6752,319,6,187,18,211
12,5,10,7268,7096,1975,7,26,3,36
12,5,3,2645,1377,101,7,29,10,46
12,4,11,4284,3634,291,0,47,11,58
12,4,3,7968,3492,138,4,57,10,71
12,3,11,16576,12888,3014,4,174,36,214
12,3,2,1925,1180,77,6,18,8,32
12,2,11,3786,3216,280,0,77,15,92
12,2,2,1536,1407,76,1,12,1,14
11,1,9,1728,1232,77,1,48,9,58
11,1,3,25248,8608,451,24,285,28,337
11,7,9,4894,2712,246,9,202,31,242
11,7,3,2935,2044,201,4,64,19,87
11,6,10,2425,1510,175,4,66,13,83
11,6,2,16416,9568,363,2,65,14,81
11,5,11,5812,2764,240,2,164,54,220
11,5,3,2545,1901,134,0,40,13,53
11,4,10,2257,1557,168,3,76,11,90
11,4,3,27072,9712,263,4,139,17,160
11,3,11,10940,5100,319,8,101,14,123
11,3,2,50912,12704,346,8,144,10,162
11,2,10,28752,7456,408,10,179,13,202
11,2,3,27216,7760,315,4,219,22,245
11,1,10,2352,1761,181,2,60,7,69
11,1,3,3416,2388,280,19,77,23,119
11,7,11,2149,1640,161,0,48,7,55
11,7,3,53456,14912,884,20,697,70,787
11,6,11,2168,1539,171,0,53,17,70
11,6,3,3102,1780,275,7,84,28,119
11,5,10,39344,11392,336,7,146,9,162
11,5,3,100768,18880,885,17,449,84,550
11,4,11,9056,5180,740,3,226,44,273
11,4,2,11444,4320,438,14,172,47,233
11,3,11,13544,11760,447,2,99,13,114
11,3,2,37376,10880,724,20,411,74,505
11,3,2,1228,1228,17,0,0,0,0
11,1,10,22984,4968,262,4,85,8,97
11,1,3,1445,1005,154,0,56,8,64
11,7,12,3754,3224,598,2,29,7,38
11,7,3,8728,7344,2099,2,86,13,101
11,6,10,5990,2628,428,18,370,53,441
11,6,3,4582,1722,305,5,190,57,252
11,5,10,2938,1848,236,2,101,19,122
11,5,2,6692,3336,156,2,99,16,117
11,4,9,2566,1806,266,10,140,8,158
11,4,3,21176,5248,185,2,130,31,163
11,3,10,4012,2218,403,3,270,38,311
11,3,3,1531,690,143,3,30,6,39
11,2,11,2938,2078,287,2,107,17,126
11,2,3,24720,8120,504,13,331,77,421
11,1,9,2219,1495,221,0,78,13,91
11,1,3,4732,3136,445,9,301,32,342
11,7,9,2225,1389,233,2,111,16,129
11,7,4,2626,1605,244,2,124,22,148
10,6,10,3090,1796,293,5,153,27,185
10,6,3,1101,704,220,3,51,11,65
10,5,11,2819,1622,240,1,115,26,142
10,5,3,12468,7636,1661,7,310,61,378
10,4,10,12776,7800,575,12,328,90,430
10,4,9,1357,1120,32,0,0,0,0
10,4,3,68896,19840,1354,26,1505,95,1626
10,3,10,1711,1118,205,2,63,14,79
10,3,4,1388,1214,172,0,13,4,17
10,2,11,2645,2101,265,4,59,9,72
10,2,4,70144,20608,1542,42,955,139,1136
10,1,11,3674,1890,328,9,181,32,222
10,1,4,9504,7616,981,17,193,28,238
10,7,9,2426,1684,248,7,125,16,148
10,7,3,13872,10432,2252,4,217,50,271
10,6,10,1673,1469,268,2,28,4,34
10,6,8,1261,1077,33,0,,,0
10,6,4,2428,1560,236,4,117,18,139
